country,reason
Iraq,No data in pre for rknacapita
Kazakhstan,No data in pre for pop
Kazakhstan,No data in pre for gdpcap
Kazakhstan,No data in pre for hc
Kazakhstan,No data in pre for csh_c
Kazakhstan,No data in pre for csh_i
Kazakhstan,No data in pre for csh_g
Kazakhstan,No data in pre for csh_x
Kazakhstan,No data in pre for csh_m
Kazakhstan,No data in pre for rknacapita
Kuwait,No data in pre for pop
Kuwait,No data in pre for gdpcap
Kuwait,No data in pre for hc
Kuwait,No data in pre for csh_c
Kuwait,No data in pre for csh_i
Kuwait,No data in pre for csh_g
Kuwait,No data in pre for csh_x
Kuwait,No data in pre for csh_m
Kuwait,No data in pre for rknacapita
Kyrgyzstan,No data in pre for pop
Kyrgyzstan,No data in pre for gdpcap
Kyrgyzstan,No data in pre for hc
Kyrgyzstan,No data in pre for csh_c
Kyrgyzstan,No data in pre for csh_i
Kyrgyzstan,No data in pre for csh_g
Kyrgyzstan,No data in pre for csh_x
Kyrgyzstan,No data in pre for csh_m
Kyrgyzstan,No data in pre for rknacapita
Lao People's DR,No data in pre for pop
Lao People's DR,No data in pre for gdpcap
Lao People's DR,No data in pre for hc
Lao People's DR,No data in pre for csh_c
Lao People's DR,No data in pre for csh_i
Lao People's DR,No data in pre for csh_g
Lao People's DR,No data in pre for csh_x
Lao People's DR,No data in pre for csh_m
Lao People's DR,No data in pre for rknacapita
Latvia,No data in pre for pop
Latvia,No data in pre for gdpcap
Latvia,No data in pre for hc
Latvia,No data in pre for csh_c
Latvia,No data in pre for csh_i
Latvia,No data in pre for csh_g
Latvia,No data in pre for csh_x
Latvia,No data in pre for csh_m
Latvia,No data in pre for rknacapita
Lebanon,No data in pre for pop
Lebanon,No data in pre for gdpcap
Lebanon,No data in pre for hc
Lebanon,No data in pre for csh_c
Lebanon,No data in pre for csh_i
Lebanon,No data in pre for csh_g
Lebanon,No data in pre for csh_x
Lebanon,No data in pre for csh_m
Lebanon,No data in pre for rknacapita
Lesotho,No data in pre for pop
Lesotho,No data in pre for gdpcap
Lesotho,No data in pre for hc
Lesotho,No data in pre for csh_c
Lesotho,No data in pre for csh_i
Lesotho,No data in pre for csh_g
Lesotho,No data in pre for csh_x
Lesotho,No data in pre for csh_m
Lesotho,No data in pre for rknacapita
Liberia,No data in pre for pop
Liberia,No data in pre for gdpcap
Liberia,No data in pre for hc
Liberia,No data in pre for csh_c
Liberia,No data in pre for csh_i
Liberia,No data in pre for csh_g
Liberia,No data in pre for csh_x
Liberia,No data in pre for csh_m
Liberia,No data in pre for rknacapita
Lithuania,No data in pre for pop
Lithuania,No data in pre for gdpcap
Lithuania,No data in pre for hc
Lithuania,No data in pre for csh_c
Lithuania,No data in pre for csh_i
Lithuania,No data in pre for csh_g
Lithuania,No data in pre for csh_x
Lithuania,No data in pre for csh_m
Lithuania,No data in pre for rknacapita
Madagascar,No data in pre for pop
Madagascar,No data in pre for gdpcap
Madagascar,No data in pre for hc
Madagascar,No data in pre for csh_c
Madagascar,No data in pre for csh_i
Madagascar,No data in pre for csh_g
Madagascar,No data in pre for csh_x
Madagascar,No data in pre for csh_m
Madagascar,No data in pre for rknacapita
Maldives,No data in pre for pop
Maldives,No data in pre for gdpcap
Maldives,No data in pre for hc
Maldives,No data in pre for csh_c
Maldives,No data in pre for csh_i
Maldives,No data in pre for csh_g
Maldives,No data in pre for csh_x
Maldives,No data in pre for csh_m
Maldives,No data in pre for rknacapita
Mali,No data in pre for pop
Mali,No data in pre for gdpcap
Mali,No data in pre for hc
Mali,No data in pre for csh_c
Mali,No data in pre for csh_i
Mali,No data in pre for csh_g
Mali,No data in pre for csh_x
Mali,No data in pre for csh_m
Mali,No data in pre for rknacapita
Mauritania,No data in pre for pop
Mauritania,No data in pre for gdpcap
Mauritania,No data in pre for hc
Mauritania,No data in pre for csh_c
Mauritania,No data in pre for csh_i
Mauritania,No data in pre for csh_g
Mauritania,No data in pre for csh_x
Mauritania,No data in pre for csh_m
Mauritania,No data in pre for rknacapita
Mongolia,No data in pre for pop
Mongolia,No data in pre for gdpcap
Mongolia,No data in pre for hc
Mongolia,No data in pre for csh_c
Mongolia,No data in pre for csh_i
Mongolia,No data in pre for csh_g
Mongolia,No data in pre for csh_x
Mongolia,No data in pre for csh_m
Mongolia,No data in pre for rknacapita
Montenegro,No data in pre for pop
Montenegro,No data in pre for gdpcap
Montenegro,No data in pre for hc
Montenegro,No data in pre for csh_c
Montenegro,No data in pre for csh_i
Montenegro,No data in pre for csh_g
Montenegro,No data in pre for csh_x
Montenegro,No data in pre for csh_m
Montenegro,No data in pre for rknacapita
Montserrat,No data in pre for pop
Montserrat,No data in pre for gdpcap
Montserrat,No data in pre for hc
Montserrat,No data in pre for csh_c
Montserrat,No data in pre for csh_i
Montserrat,No data in pre for csh_g
Montserrat,No data in pre for csh_x
Montserrat,No data in pre for csh_m
Montserrat,No data in pre for rknacapita
Mozambique,No data in pre for pop
Mozambique,No data in pre for gdpcap
Mozambique,No data in pre for hc
Mozambique,No data in pre for csh_c
Mozambique,No data in pre for csh_i
Mozambique,No data in pre for csh_g
Mozambique,No data in pre for csh_x
Mozambique,No data in pre for csh_m
Mozambique,No data in pre for rknacapita
Myanmar,No data in pre for pop
Myanmar,No data in pre for gdpcap
Myanmar,No data in pre for hc
Myanmar,No data in pre for csh_c
Myanmar,No data in pre for csh_i
Myanmar,No data in pre for csh_g
Myanmar,No data in pre for csh_x
Myanmar,No data in pre for csh_m
Myanmar,No data in pre for rknacapita
Namibia,No data in pre for pop
Namibia,No data in pre for gdpcap
Namibia,No data in pre for hc
Namibia,No data in pre for csh_c
Namibia,No data in pre for csh_i
Namibia,No data in pre for csh_g
Namibia,No data in pre for csh_x
Namibia,No data in pre for csh_m
Namibia,No data in pre for rknacapita
Nepal,No data in pre for pop
Nepal,No data in pre for gdpcap
Nepal,No data in pre for hc
Nepal,No data in pre for csh_c
Nepal,No data in pre for csh_i
Nepal,No data in pre for csh_g
Nepal,No data in pre for csh_x
Nepal,No data in pre for csh_m
Nepal,No data in pre for rknacapita
Niger,No data in pre for pop
Niger,No data in pre for gdpcap
Niger,No data in pre for hc
Niger,No data in pre for csh_c
Niger,No data in pre for csh_i
Niger,No data in pre for csh_g
Niger,No data in pre for csh_x
Niger,No data in pre for csh_m
Niger,No data in pre for rknacapita
Nigeria,No data in pre for hc
North Macedonia,No data in pre for pop
North Macedonia,No data in pre for gdpcap
North Macedonia,No data in pre for hc
North Macedonia,No data in pre for csh_c
North Macedonia,No data in pre for csh_i
North Macedonia,No data in pre for csh_g
North Macedonia,No data in pre for csh_x
North Macedonia,No data in pre for csh_m
North Macedonia,No data in pre for rknacapita
Oman,No data in pre for pop
Oman,No data in pre for gdpcap
Oman,No data in pre for hc
Oman,No data in pre for csh_c
Oman,No data in pre for csh_i
Oman,No data in pre for csh_g
Oman,No data in pre for csh_x
Oman,No data in pre for csh_m
Oman,No data in pre for rknacapita
Poland,No data in pre for pop
Poland,No data in pre for gdpcap
Poland,No data in pre for hc
Poland,No data in pre for csh_c
Poland,No data in pre for csh_i
Poland,No data in pre for csh_g
Poland,No data in pre for csh_x
Poland,No data in pre for csh_m
Poland,No data in pre for rknacapita
Qatar,No data in pre for pop
Qatar,No data in pre for gdpcap
Qatar,No data in pre for hc
Qatar,No data in pre for csh_c
Qatar,No data in pre for csh_i
Qatar,No data in pre for csh_g
Qatar,No data in pre for csh_x
Qatar,No data in pre for csh_m
Qatar,No data in pre for rknacapita
Republic of Moldova,No data in pre for pop
Republic of Moldova,No data in pre for gdpcap
Republic of Moldova,No data in pre for hc
Republic of Moldova,No data in pre for csh_c
Republic of Moldova,No data in pre for csh_i
Republic of Moldova,No data in pre for csh_g
Republic of Moldova,No data in pre for csh_x
Republic of Moldova,No data in pre for csh_m
Republic of Moldova,No data in pre for rknacapita
Romania,No data in pre for pop
Romania,No data in pre for gdpcap
Romania,No data in pre for hc
Romania,No data in pre for csh_c
Romania,No data in pre for csh_i
Romania,No data in pre for csh_g
Romania,No data in pre for csh_x
Romania,No data in pre for csh_m
Romania,No data in pre for rknacapita
Russian Federation,No data in pre for pop
Russian Federation,No data in pre for gdpcap
Russian Federation,No data in pre for hc
Russian Federation,No data in pre for csh_c
Russian Federation,No data in pre for csh_i
Russian Federation,No data in pre for csh_g
Russian Federation,No data in pre for csh_x
Russian Federation,No data in pre for csh_m
Russian Federation,No data in pre for rknacapita
Rwanda,No data in pre for pop
Rwanda,No data in pre for gdpcap
Rwanda,No data in pre for hc
Rwanda,No data in pre for csh_c
Rwanda,No data in pre for csh_i
Rwanda,No data in pre for csh_g
Rwanda,No data in pre for csh_x
Rwanda,No data in pre for csh_m
Rwanda,No data in pre for rknacapita
Saint Kitts and Nevis,No data in pre for pop
Saint Kitts and Nevis,No data in pre for gdpcap
Saint Kitts and Nevis,No data in pre for hc
Saint Kitts and Nevis,No data in pre for csh_c
Saint Kitts and Nevis,No data in pre for csh_i
Saint Kitts and Nevis,No data in pre for csh_g
Saint Kitts and Nevis,No data in pre for csh_x
Saint Kitts and Nevis,No data in pre for csh_m
Saint Kitts and Nevis,No data in pre for rknacapita
Saint Lucia,No data in pre for pop
Saint Lucia,No data in pre for gdpcap
Saint Lucia,No data in pre for hc
Saint Lucia,No data in pre for csh_c
Saint Lucia,No data in pre for csh_i
Saint Lucia,No data in pre for csh_g
Saint Lucia,No data in pre for csh_x
Saint Lucia,No data in pre for csh_m
Saint Lucia,No data in pre for rknacapita
Sao Tome and Principe,No data in pre for pop
Sao Tome and Principe,No data in pre for gdpcap
Sao Tome and Principe,No data in pre for hc
Sao Tome and Principe,No data in pre for csh_c
Sao Tome and Principe,No data in pre for csh_i
Sao Tome and Principe,No data in pre for csh_g
Sao Tome and Principe,No data in pre for csh_x
Sao Tome and Principe,No data in pre for csh_m
Sao Tome and Principe,No data in pre for rknacapita
Saudi Arabia,No data in pre for pop
Saudi Arabia,No data in pre for gdpcap
Saudi Arabia,No data in pre for hc
Saudi Arabia,No data in pre for csh_c
Saudi Arabia,No data in pre for csh_i
Saudi Arabia,No data in pre for csh_g
Saudi Arabia,No data in pre for csh_x
Saudi Arabia,No data in pre for csh_m
Saudi Arabia,No data in pre for rknacapita
Senegal,No data in pre for pop
Senegal,No data in pre for gdpcap
Senegal,No data in pre for hc
Senegal,No data in pre for csh_c
Senegal,No data in pre for csh_i
Senegal,No data in pre for csh_g
Senegal,No data in pre for csh_x
Senegal,No data in pre for csh_m
Senegal,No data in pre for rknacapita
Serbia,No data in pre for pop
Serbia,No data in pre for gdpcap
Serbia,No data in pre for hc
Serbia,No data in pre for csh_c
Serbia,No data in pre for csh_i
Serbia,No data in pre for csh_g
Serbia,No data in pre for csh_x
Serbia,No data in pre for csh_m
Serbia,No data in pre for rknacapita
Seychelles,No data in pre for pop
Seychelles,No data in pre for gdpcap
Seychelles,No data in pre for hc
Seychelles,No data in pre for csh_c
Seychelles,No data in pre for csh_i
Seychelles,No data in pre for csh_g
Seychelles,No data in pre for csh_x
Seychelles,No data in pre for csh_m
Seychelles,No data in pre for rknacapita
Sierra Leone,No data in pre for pop
Sierra Leone,No data in pre for gdpcap
Sierra Leone,No data in pre for hc
Sierra Leone,No data in pre for csh_c
Sierra Leone,No data in pre for csh_i
Sierra Leone,No data in pre for csh_g
Sierra Leone,No data in pre for csh_x
Sierra Leone,No data in pre for csh_m
Sierra Leone,No data in pre for rknacapita
Singapore,No data in pre for pop
Singapore,No data in pre for gdpcap
Singapore,No data in pre for hc
Singapore,No data in pre for csh_c
Singapore,No data in pre for csh_i
Singapore,No data in pre for csh_g
Singapore,No data in pre for csh_x
Singapore,No data in pre for csh_m
Singapore,No data in pre for rknacapita
Sint Maarten (Dutch part),No data in pre for pop
Sint Maarten (Dutch part),No data in pre for gdpcap
Sint Maarten (Dutch part),No data in pre for hc
Sint Maarten (Dutch part),No data in pre for csh_c
Sint Maarten (Dutch part),No data in pre for csh_i
Sint Maarten (Dutch part),No data in pre for csh_g
Sint Maarten (Dutch part),No data in pre for csh_x
